Policy ID	ELI	CELEX number	Title	Date created	Form	Cellar reference	EUROVOC descriptor	Date of effect	Date of end of validity	Latest modification of notice	Subject matter	Treaty	Legal basis	Instruments cited	Instruments involved	Amendment to	Transposed legal act(s)	Amended by	Co author	Date of document	Date of publication	Author	In force indicator	Publication Reference
EU_32013R0525	http://data.europa.eu/eli/reg/2013/525/oj	32013R0525	Regulation (EU) No 525/2013 of the European Parliament and of the Council of 21 May 2013 on a mechanism for monitoring and reporting greenhouse gas emissions and for reporting other information at national and Union level relevant to climate change and repealing Decision No 280/2004/EC Text with EEA relevance	6/18/2013	Regulation	0fcd40ae-d802-11e2-bfa7-01aa75ed71a1	"adaptation to climate change, pollution control, environmental monitoring, emission trading, climate change, reduction of gas emissions, disclosure of information, greenhouse effect, greenhouse gas, Kyoto Protocol"	2013-07-08	2020-12-31	23/07/2019 05:29:20	Environment	Treaty on the Functioning of the European Union (consolidated version 2008)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E294, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E192"			"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52011PC0789, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32004D0280"				5/21/2013	"2014-12-04, 2013-06-18"	"European Parliament, Council of the European Union"	TRUE	"OJ L 165, 18/06/2013, p. 13–40 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
EU_32018L2001	http://data.europa.eu/eli/dir/2018/2001/oj	32018L2001	Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (Text with EEA relevance.)	12/21/2018	Directive	7aa60dea-04e7-11e9-adde-01aa75ed71a1	"EU programme, atmospheric pollution, renewable resources, environmental cooperation, greenhouse gas, reduction of gas emissions, renewable energy, energy consumption, energy saving"	2018-12-24	No end date	14/02/2020 19:40:11	"Energy, Environment"	Treaty on the Functioning of the European Union (consolidated version 2012)	https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194					"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R0807, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001R(01)"		12/11/2018	2018-12-21	"European Parliament, Council of the European Union"	TRUE	"OJ L 328, 21/12/2018, p. 82–209 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)"
EU_32019R0631	http://data.europa.eu/eli/reg/2019/631/oj	32019R0631	"Regulation (EU) 2019/631 of the European Parliament and of the Council of 17 April 2019 setting CO2 emission performance standards for new passenger cars and for new light commercial vehicles, and repealing Regulations (EC) No 443/2009 and (EU) No 510/2011 (Text with EEA relevance.)"	4/25/2019	Regulation	2a607219-6757-11e9-9f05-01aa75ed71a1	"pollution control measures, atmospheric pollution, commercial vehicle, energy consumption, motor car, environmental standard, motor vehicle pollution, reduction of gas emissions, greenhouse gas, motor vehicle"	"2019-05-15, 2020-01-01"	No end date	18/05/2020 15:24:34	"Transport, Pollution, Environment"	Treaty on the Functioning of the European Union (consolidated version 2012)	https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E192					"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32020R0022, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R0631R(01)"		4/17/2019	2019-04-25	"European Parliament, Council of the European Union"	TRUE	"OJ L 111, 25/04/2019, p. 13–53 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)"
EU_32018R1999	http://data.europa.eu/eli/reg/2018/1999/oj	32018R1999	"Regulation (EU) 2018/1999 of the European Parliament and of the Council of 11 December 2018 on the Governance of the Energy Union and Climate Action, amending Regulations (EC) No 663/2009 and (EC) No 715/2009 of the European Parliament and of the Council, Directives 94/22/EC, 98/70/EC, 2009/31/EC, 2009/73/EC, 2010/31/EU, 2012/27/EU and 2013/30/EU of the European Parliament and of the Council, Council Directives 2009/119/EC and (EU) 2015/652 and repealing Regulation (EU) No 525/2013 of the European Parliament and of the Council (Text with EEA relevance.)"	12/21/2018	Regulation	c6980a60-04e7-11e9-adde-01aa75ed71a1	"energy research, greenhouse gas, energy cooperation, reduction of gas emissions, renewable energy, single market, energy diversification, adaptation to climate change, EU energy policy, energy efficiency"	"2021-01-01, 2018-12-24"	No end date	05/03/2020 13:54:17	"Energy, Environment"	Treaty on the Functioning of the European Union (consolidated version 2012)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E192"					"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019D0504, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1999R(01)"		12/11/2018	2018-12-21	"European Parliament, Council of the European Union"	TRUE	"OJ L 328, 21/12/2018, p. 1–77 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)"
EU_32009L0028	http://data.europa.eu/eli/dir/2009/28/oj	32009L0028	Directive 2009/28/EC of the European Parliament and of the Council of 23 April 2009 on the promotion of the use of energy from renewable sources and amending and subsequently repealing Directives 2001/77/EC and 2003/30/EC (Text with EEA relevance)	4/23/2009	Directive	574c0c59-59e2-4828-8160-95aff8f6f7ac	"energy consumption, cultural promotion, EU programme, greenhouse gas, reduction of gas emissions, renewable energy, atmospheric pollution"	2009-06-25	2021-06-30	18/05/2020 19:32:40	"Energy, Environment"	Treaty establishing the European Community (consolidated version 1992)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E095, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E251, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E175"							4/23/2009	"2009-06-05, 2013-04-13"	"Council of the European Union, European Parliament"	TRUE	"OJ L 140, 05/06/2009, p. 16–62 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
EU_32012L0027	http://data.europa.eu/eli/dir/2012/27/oj	32012L0027	"Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC  Text with EEA relevance"	10/25/2012	Directive	345b96f1-2d99-11e2-ad46-01aa75ed71a1	"energy consumption, energy saving, energy use, energy efficiency"	2012-12-04	No end date	06/04/2020 06:26:48	Energy	Treaty on the Functioning of the European Union (consolidated version 2008)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E294, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E194"							10/25/2012	"2012-11-14, 2013-05-24"	"Council of the European Union, European Parliament"	TRUE	"OJ L 315, 14/11/2012, p. 1–56 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
EU_32014R0421	http://data.europa.eu/eli/reg/2014/421/oj	32014R0421	"Regulation (EU) No 421/2014 of the European Parliament and of the Council of 16 April 2014 amending Directive 2003/87/EC establishing a scheme for greenhouse gas emission allowance trading within the Community, in view of the implementation by 2020 of an international agreement applying a single global market-based measure to international aviation emissions  Text with EEA relevance"	4/30/2014	Regulation	370407ea-d032-11e3-8cd4-01aa75ed71a1	"international agreement, civil aviation, derogation from EU law, greenhouse gas, pollution control, EU emission allowance, atmospheric pollution, EU Emissions Trading Scheme, international transport"	2014-04-30	No end date	24/03/2018 07:03:40	Environment	Treaty on the Functioning of the European Union (consolidated version 2008)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E294, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E192"	https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R0525		"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52013PC0722, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003L0087"		"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0421R(02), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014R0421R(01)"		4/16/2014	2014-04-30	"Council of the European Union, European Parliament"	TRUE	"OJ L 129, 30/04/2014, p. 1–4 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)"
EU_32008R1099	http://data.europa.eu/eli/reg/2008/1099/oj	32008R1099	Regulation (EC) No 1099/2008 of the European Parliament and of the Council of 22 October 2008 on energy statistics (Text with EEA relevance)	11/17/2008	Regulation	82db71d3-21a1-4e66-a380-c2a5b7816170	"EU statistics, energy policy, Eurostat"	2008-12-04	No end date	04/03/2020 10:17:43	Energy	Treaty establishing the European Community (consolidated version 1992)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E285, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E251"			https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52006PC0850				10/22/2008	"2008-11-14, 2012-05-16"	"Council of the European Union, European Parliament"	TRUE	"OJ L 304, 14/11/2008, p. 1–62 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
EU_32013R0174	http://data.europa.eu/eli/reg/2013/174/oj	32013R0174	Regulation (EU) No 174/2013 of the European Parliament and of the Council of 5 February 2013 amending Regulation (EC) No 106/2008 on a Community energy-efficiency labelling programme for office equipment Text with EEA relevance	2/5/2013	Regulation	599c09b6-858c-11e2-89d6-01aa75ed71a1	"labelling, energy efficiency, agreement (EU), office automation, computer equipment, United States, quality label, EU programme"	2013-03-26	No end date	10/06/2016 22:44:57	"Consumer protection, Information and verification"	Treaty on the Functioning of the European Union (consolidated version 2008)	"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E294"			"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52012PC0109, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008R0106"				2/5/2013	"2013-11-29, 2013-03-06"	"European Parliament, Council of the European Union"	TRUE	"OJ L 63, 06/03/2013, p. 1–4 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
EU_32009R0397	http://data.europa.eu/eli/reg/2009/397/oj	32009R0397	Regulation (EC) No 397/2009 of the European Parliament and of the Council of 6 May 2009 amending Regulation (EC) No 1080/2006 on the European Regional Development Fund as regards the eligibility of energy efficiency and renewable energy investments in housing	5/25/2009	Regulation	a973eb9d-1544-41a3-b3e8-0196c7919b28	"European Regional Development Fund, economic development, powers of the institutions (EU), regional aid, regional disparity, operation of the Institutions, economic and social cohesion, regional development"	"2006-08-01, 2009-06-10"	2013-12-31	21/03/2016 01:49:56	"Coordination of structural instruments, economic, social and territorial cohesion, European Regional Development Fund (ERDF)"	Treaty establishing the European Community (consolidated version 1992)	https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E162	https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006L0032		"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:52008PC0838, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006R1080"		https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32013R1301		5/6/2009	"2009-05-21, 2012-11-30"	"European Parliament, Council of the European Union"	FALSE	"OJ L 126, 21/05/2009, p. 3–4 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (HR)"
